Part ,Price,Link,Status
Chassis,$99.99,https://www.hiwonder.com/products/ackermann-steering-chassis?variant=40410112032855,Ordered
Motors,Included ^,https://www.hiwonder.com/products/ackermann-steering-chassis?variant=40410112032855,Ordered
Motor Driver,Included ^,https://www.hiwonder.com/products/ackermann-steering-chassis?variant=40410112032855,Ordered
Motor Encoders,Included ^,https://www.hiwonder.com/products/ackermann-steering-chassis?variant=40410112032855,Ordered
Battery,Included ^,https://www.hiwonder.com/products/ackermann-steering-chassis?variant=40410112032855,Ordered
SBC,$209.00,https://www.amazon.com/RasTech-Raspberry-Active-Screwdrive-Included/dp/B0DNF5JWB4/ref=sr_1_3?crid=1S63MQZ2DT4F&dib=eyJ2IjoiMSJ9.tlrRen_PNuBE0uslRs5hjA6yc_rQ-5gVQxb8m2c6y20iq6nSGXUrauVFWbr_xNG1oQovKwk4Fyr-dMTkTL_7Lz1PrHD6Rcqeys44WGmO0SNiKISSK36KF1VpVFW8pfaHfq1I8mfNmpJx8aVNIZ3Ss1v5OJKimZqaAQUb11CyYtaOsesz7LOjZnl-k99G93zSQrKLCGgON0pxd_fIAOVLOrxCk3W9xisbe6AuBTxic9E.gSITRnWIVzbPrvusOwQpmxI9k6D-RFHYLHfHt0uy_8k&dib_tag=se&keywords=raspberry+pi+5&qid=1787865305&sprefix=raspberry+%2Caps%2C1183&sr=8-3,Ordered
SD Card,$41.95,amazon,Ordered
Camera,$25.00,https://makerbright.com/products/raspberry-pi-camera-module?variant=44696849055922,Ordered
Camera Mount,$7.95,https://www.pishop.us/product/adjustable-raspberry-pi-camera-mount-protector/?utm_source=chatgpt.com,Ordered
IMU,$28.15,https://www.seeedstudio.com/Grove-6-Axis-Accelerometer-Gyroscope-BMI088.html?utm_source=chatgpt.com,Ordered
General Jumper Wires,$4.99,https://www.microcenter.com/product/613879/inland-dupont-jumper-wire-20cm-3-pack?utm_source=chatgpt.com&utm_medium=feed,Ordered
IMU - Pi Jumper Wires,$4.87,https://www.robotshop.com/products/grove-4-pin-female-jumper-wire?variant=42358409363617&_gsid=9crDKK2HF9Jp&utm_source=chatgpt.com&utm_medium=feed,Ordered
Cam - Pi Jumper Wires,$2.99,https://www.microcenter.com/product/671933/raspberry-pi-5-camera-cable-300mm?utm_source=chatgpt.com&utm_medium=feed,Ordered
Chassis - Pi Cable,$0.39,https://www.hiwonder.com/products/4pin-wire?variant=39328290340951&utm_source=chatgpt.com,Ordered
RPi5 PSU,$12.95,https://www.pishop.us/product/raspberry-pi-27w-usb-c-power-supply-white-us/?utm_source=chatgpt.com,Ordered
Rpi5 Power Module,$15.50,https://geekworm.com/products/rpi5-5v5a-pd?variant=51143289766201&_gsid=twpsCKYoCdJ9&utm_source=chatgpt.com&utm_medium=feed,Ordered
USB C 5V/5A ,$7.99,https://a.co/d/01mz8zHW,Ordered
18 AWG Hookup Wire,$7.98,https://a.co/d/07GjtA4O,Ordered
Inline Fuse,$4.99,https://a.co/d/0cnazITR,Ordered
Total,$474.69,,
